#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 20260602    17:58:56       3    255     72      -     65     24      0      0      0      0  13801   2947      0      0 
 20260602    17:58:57       0    251     74      -     64     20      0      0      0      0  13801   2850      0      0 
 20260602    17:58:57       1    233     58      -     52     13      0      0      0      0  13801   2895      0      0 
 20260602    17:58:57       2    255     67      -     51     14      0      0      0      0  13801   2887      0      0 
 20260602    17:58:57       3    193     68      -    100      0      0      0      0      0  13801   2955      0      0 
 20260602    17:58:58       0    289     75      -     67     22      0      0      0      0  13801   2842      0      0 
 20260602    17:58:58       1    189     54      -    100      0      0      0      0      0  13801   2902      0      0 
 20260602    17:58:58       2    140     64      -    100      0      0      0      0      0  13801   2895      0      0 
 20260602    17:58:58       3    142     68      -    100      0      0      0      0      0  13801   2955      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 20260602    17:58:59       0    247     72      -     59     19      0      0      0      0  13801   2835      0      0 
 20260602    17:58:59       1    194     56      -     51     18      0      0      0      0  13801   2880      0      0 
 20260602    17:58:59       2    219     66      -     54     20      0      0      0      0  13801   2872      0      0 
 20260602    17:58:59       3    222     70      -     38     21      0      0      0      0  13801   2940      0      0 
 20260602    17:59:01       0    265     73      -     65     21      0      0      0      0  13801   2842      0      0 
 20260602    17:59:01       1    228     57      -     64     17      0      0      0      0  13801   2895      0      0 
 20260602    17:59:01       2    243     66      -     40     12      0      0      0      0  13801   2887      0      0 
 20260602    17:59:01       3    245     71      -     55     21      0      0      0      0  13801   2955      0      0 
 20260602    17:59:02       0    279     74      -     65     21      0      0      0      0  13801   2842      0      0 
 20260602    17:59:02       1    229     57      -     64     17      0      0      0      0  13801   2895      0      0 
 20260602    17:59:02       2    252     68      -     64     20      0      0      0      0  13801   2887      0      0 
 20260602    17:59:02       3    229     70      -     54     21      0      0      0      0  13801   2955      0      0 
 20260602    17:59:03       0    246     73      -     65     20      0      0      0      0  13801   2850      0      0 
